#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.010616,3,1,0,1962
0.001137,4,1,0,2307
0.323153,5,1,0,2686
0.300672,6,1,0,3150
0.987580,7,1,0,3591
0.657974,8,1,0,3916
1.126625,9,1,0,4226
1.136515,10,1,0,4566
1.121445,11,1,0,4897
1.223069,12,1,0,5297
1.776204,13,1,0,5694
1.744964,14,1,0,5980
2.971279,15,1,0,6115
2.019994,16,1,0,6489
3.070403,17,1,0,6695
2.166085,18,1,0,6976
2.703577,19,1,0,7257
3.331004,20,1,0,7548
5.045338,21,1,0,7960
3.897045,22,1,0,8295
4.274262,23,1,0,8638
5.472060,23,1,0,8591
4.996387,24,1,0,8953
4.068703,25,1,0,9306
7.881276,26,1,0,9383
5.194428,27,1,0,9660
5.274455,27,1,0,9597
7.254071,28,1,0,9950
5.282848,29,1,0,10227
7.005454,30,1,0,10431
7.773266,29,1,0,9985
9.036021,30,1,0,10168
7.950288,31,1,0,10511
6.504535,32,1,0,10884
10.717252,33,1,0,11202
10.512400,33,1,0,11162
8.694298,33,1,0,10938
10.442754,34,1,0,11051
10.233351,35,1,0,11580
12.393572,35,1,0,11536
16.692702,36,1,0,11989
8.694603,37,1,0,12309
11.461906,38,1,0,12735
16.786418,39,1,0,13100
14.826342,40,1,0,13134
16.639999,40,1,0,12922
22.216692,41,1,0,13087
18.066033,42,1,0,13311
15.428649,42,1,0,13159
23.708717,43,1,0,13366
18.914216,44,1,0,13816
20.985086,45,1,0,14106
21.606424,44,1,0,13887
33.075518,45,1,0,14232
30.953209,46,1,0,14646
23.887899,32669,32669,32669,32669
29.752293,25,22,25,28
