#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.936015,0.047805,0.637023,0.010616,0.010616,5.638242
4.536164,0.160110,1.112174,0.001137,0.001137,5.810570
6.272168,0.152363,1.708944,0.323153,0.323153,24.768990
5.094777,0.242692,2.552311,0.300672,0.300672,22.012599
4.935252,0.175610,2.956596,0.987580,0.987580,24.264863
7.541496,0.171541,3.465551,0.657974,0.657974,30.963997
6.178025,0.189913,4.753399,1.126625,1.126625,35.267022
6.293743,0.229492,5.620654,1.136515,1.136515,45.959347
6.091496,0.215674,8.682247,1.121445,1.121445,53.078982
7.088471,0.377149,11.157793,1.223069,1.223069,56.528331
6.743916,0.315369,10.558377,1.776204,1.776204,58.570693
5.202493,0.214007,7.394293,1.744964,1.744964,54.561378
7.164170,0.705263,13.380710,2.971279,2.971279,82.113991
9.102232,0.729969,10.573161,2.019994,2.019994,88.757323
6.802348,0.401592,10.477430,3.070403,3.070403,80.820140
13.148241,0.265307,10.444244,2.166085,2.166085,97.942215
9.171603,0.386118,12.616533,2.703577,2.703577,101.679229
10.481657,0.343793,16.690537,3.331004,3.331004,102.600927
10.685877,0.252690,17.269632,5.045338,5.045338,107.169443
9.468795,0.324221,17.799867,3.897045,3.897045,96.781249
7.402275,0.221405,19.001553,4.274262,4.274262,113.287624
9.103466,0.456735,14.668017,5.472060,5.472060,123.781183
11.015469,0.419036,19.583686,4.996387,4.996387,145.911379
13.119683,0.571350,21.325355,4.068703,4.068703,143.254826
7.239911,0.467297,16.315331,7.881276,7.881276,136.949046
9.598647,0.253455,15.925824,5.194428,5.194428,145.639159
8.677231,0.502378,29.075116,5.274455,5.274455,178.407239
14.362565,0.362469,26.339528,7.254071,7.254071,169.254586
12.926920,0.185101,20.034836,5.282848,5.282848,158.964915
18.322146,0.347024,35.327665,7.005454,7.005454,177.335322
10.733715,0.163968,23.146280,7.773266,7.773266,170.716346
12.241012,0.220944,26.193855,9.036021,9.036021,203.188224
10.632751,0.212631,20.989355,7.950288,7.950288,169.270541
6.777302,0.160426,17.358082,6.504535,6.504535,150.029956
11.828596,0.293962,27.755485,10.717252,10.717252,180.636991
9.675984,0.234426,30.665725,10.512400,10.512400,174.927552
15.371626,0.526095,28.871596,8.694298,8.694298,202.227128
8.848485,0.316858,25.576254,10.442754,10.442754,183.530113
16.130246,0.431747,26.105845,10.233351,10.233351,212.834928
13.461212,0.491292,31.697247,12.393572,12.393572,232.483210
11.694438,0.205521,32.041356,16.692702,16.692702,242.578602
12.237130,0.420161,30.747164,8.694603,8.694603,205.779366
13.127128,0.732114,40.387614,11.461906,11.461906,261.524269
7.985138,0.287921,33.111347,16.786418,16.786418,248.080618
10.920811,0.318016,27.193198,14.826342,14.826342,225.871946
7.874441,0.322050,20.149617,16.639999,16.639999,208.871139
14.965625,0.972566,42.214741,22.216692,22.216692,282.156409
8.725955,0.470417,42.667128,18.066033,18.066033,304.970121
23.706505,1.215084,29.649981,15.428649,15.428649,301.270920
14.008085,0.334154,30.593080,23.708717,23.708717,317.792558
12.691706,0.465063,27.834426,18.914216,18.914216,308.767167
10.525074,0.249537,32.042345,20.985086,20.985086,277.178425
20.845339,0.354429,41.889594,21.606424,21.606424,358.615595
22.519756,0.422544,39.999804,33.075518,33.075518,380.720025
32.556936,1.297398,80.066430,30.953209,30.953209,684.150730
17.536629,0.954458,39.835080,23.887899,23.887899,329.196600
19.263104,0.404507,36.301851,29.752293,29.752293,402.318533
